time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1983-07-09T03:28:46.800Z,35.545,-84.143,9.5,1,md,,88,0.01799,0.1,se,se60287,2022-06-28T13:54:16.872Z,"10 km ESE of Vonore, Tennessee",earthquake,,0.9,,,reviewed,nm,nm
1983-07-09T09:57:47.400Z,35.537,-84.135,5.3,1.3,md,,164,0.07195,0.1,se,se60288,2022-06-28T13:54:18.009Z,"11 km ESE of Vonore, Tennessee",earthquake,,2,,,reviewed,nm,nm
1983-07-15T19:32:56.100Z,35.547,-84.164,6.8,2.6,md,,66,0.12591,0.1,se,se60291,2022-06-28T13:54:21.438Z,"8 km SE of Vonore, Tennessee",earthquake,,0.8,,,reviewed,nm,nm
1983-07-28T18:07:29.900Z,34.886,-83.947,6.2,2.1,md,,159,0.11691,0.1,se,se60294,2022-06-28T13:54:25.082Z,"1 km NE of Blairsville, Georgia",earthquake,,0.9,,,reviewed,nm,nm
1983-08-03T13:40:47.200Z,36.065,-83.787,9.5,1.5,md,,208,0.16188,0.2,se,se60296,2022-06-28T13:54:27.324Z,"3 km W of Mascot, Tennessee",earthquake,,1.1,,,reviewed,nm,nm
1983-08-05T07:22:36.900Z,35.783,-83.762,22.5,2,md,,209,0.12591,0,se,se60297,2022-06-28T13:54:28.504Z,"7 km NE of Walland, Tennessee",earthquake,,0.9,,,reviewed,nm,nm
1983-08-12T05:49:13.600Z,35.623,-84.336,12.9,2.1,md,,179,0.10792,0.1,se,se60299,2022-06-28T13:54:34.880Z,"8 km SE of Philadelphia, Tennessee",earthquake,,0.3,,,reviewed,nm,nm
1983-08-28T22:44:21.700Z,36.57,-84.53,5,0,md,,,,,se,se602028,2016-04-14T19:18:46.310Z,"7 km WNW of Winfield, Tennessee",earthquake,,,,,reviewed,se,se
1983-08-28T22:45:07.400Z,36.682,-83.821,18.1,3.1,mb_lg,,62,0.89033,0.3,se,se60302,2022-06-28T13:54:42.482Z,"12 km NW of Middlesboro, Kentucky",earthquake,,2.2,,,reviewed,se,us
1983-08-28T22:56:38.500Z,36.658,-83.817,0.1,2.3,md,,124,0.99825,0.3,se,se60303,2022-06-28T13:54:47.932Z,"Kentucky-Tennessee border region",earthquake,,3.6,,,reviewed,se,se
1983-09-13T11:06:00.300Z,35.073,-84.338,8.3,0.2,md,,225,0.2698,0.1,se,se60305,2022-06-28T13:54:50.454Z,"5 km NE of Ducktown, Tennessee",earthquake,,7.4,,,reviewed,nm,nm
1983-09-16T09:47:48.900Z,34.811,-85.021,21.2,1.5,md,,154,0.31476,0.1,se,se60306,2022-06-28T13:54:55.823Z,"3 km SSE of Tunnel Hill, Georgia",earthquake,,1.7,,,reviewed,nm,nm
1983-10-03T02:51:34.800Z,34.81,-85.056,6.2,1.2,md,,218,0.28778,0.1,se,se60307,2022-06-28T13:54:57.030Z,"3 km SSW of Tunnel Hill, Georgia",earthquake,,2.7,,,reviewed,nm,nm
1983-10-05T03:50:25.900Z,35.732,-84.104,21.1,1.7,md,,86,0.10792,0.1,se,se60308,2022-06-28T13:54:58.128Z,"4 km SE of Friendsville, Tennessee",earthquake,,0.6,,,reviewed,nm,nm
1983-10-08T04:26:12.200Z,35.331,-84.189,10.9,1.5,md,,123,0.21584,0.1,se,se60309,2022-06-28T13:55:03.944Z,"10 km ESE of Tellico Plains, Tennessee",earthquake,,0.8,,,reviewed,nm,nm
1983-10-08T06:21:34.700Z,35.216,-84.185,12.4,1.9,md,,158,0.24282,0.1,se,se60310,2022-06-28T13:55:09.488Z,"19 km SSE of Tellico Plains, Tennessee",earthquake,,1.1,,,reviewed,nm,nm
1983-10-08T17:09:33.300Z,35.722,-83.929,22.9,1.6,md,,94,0.14389,0.1,se,se60311,2022-06-28T13:55:15.077Z,"5 km SE of Maryville, Tennessee",earthquake,,0.5,,,reviewed,nm,nm
1983-10-13T10:56:16.800Z,34.879,-85.156,17.4,2,md,,172,0.18886,0.1,se,se60312,2022-06-28T13:42:32.143Z,"5 km SW of Ringgold, Georgia",earthquake,,0.9,,,reviewed,nm,nm
1983-10-16T22:02:48.400Z,35.839,-84.507,7.4,2.4,md,,130,0.17986,0.1,se,se60313,2022-06-28T13:55:17.076Z,"4 km S of Kingston, Tennessee",earthquake,,0.6,,,reviewed,nm,nm
1983-10-17T07:45:20.000Z,35.67,-84.162,19.4,2.6,md,,98,0.04497,0.1,se,se60314,2022-06-28T13:55:28.498Z,"1 km NE of Greenback, Tennessee",earthquake,,0.5,,,reviewed,nm,nm
1983-10-25T16:35:56.500Z,35.661,-84.286,6.9,2.1,md,,65,0.06295,0.1,se,se60315,2022-06-28T13:55:35.180Z,"3 km SW of Tellico Village, Tennessee",earthquake,,0.3,,,reviewed,nm,nm
1983-11-05T06:30:33.800Z,36.836,-83.096,6.7,1.8,md,,192,0.45865,0.1,se,se60316,2022-06-28T13:55:45.646Z,"5 km NW of Saint Charles, Virginia",earthquake,,1.1,,,reviewed,nm,nm
1983-11-06T00:12:58.500Z,36.868,-83.821,12.1,2.3,md,,200,0.29678,0.3,se,se60317,2022-06-28T13:55:51.289Z,"4 km NNE of Artemus, Kentucky",earthquake,,1.1,,,reviewed,nm,nm
1983-11-08T20:18:44.300Z,36.044,-83.826,5.7,1.5,md,,201,0.27879,0.1,se,se60321,2022-06-28T13:56:05.313Z,"7 km WSW of Mascot, Tennessee",earthquake,,2.2,,,reviewed,nm,nm
1983-11-11T06:19:11.000Z,36.35,-83.526,6.4,1.6,md,,117,0.27879,0.1,se,se60322,2022-06-28T13:56:10.792Z,"7 km N of Rutledge, Tennessee",earthquake,,1.3,,,reviewed,nm,nm
1983-11-14T16:34:25.100Z,35.759,-83.969,10.1,0.9,md,,196,0.11691,0.1,se,se60325,2022-06-28T13:56:18.598Z,"0 km NNE of Maryville, Tennessee",earthquake,,1.3,,,reviewed,nm,nm
1983-11-20T04:04:27.000Z,35.409,-84.133,16.7,0.6,md,,203,0.08993,0.1,se,se60327,2022-06-28T13:56:25.503Z,"15 km ENE of Tellico Plains, Tennessee",earthquake,,0.4,,,reviewed,nm,nm
1983-11-24T19:40:33.100Z,35.759,-83.036,6.8,0.7,md,,155,0.24282,0.2,se,se60329,2022-06-28T13:56:32.163Z,"17 km N of Cove Creek, North Carolina",earthquake,,4.8,,,reviewed,nm,nm
1983-11-24T21:37:51.100Z,34.987,-84.45,21.5,1.2,md,,257,0.34174,0.1,se,se60330,2022-06-28T13:56:37.727Z,"7 km NW of Epworth, Georgia",earthquake,,0.8,,,reviewed,nm,nm
1983-12-06T04:46:49.400Z,35.793,-83.682,12.2,1.1,md,,152,0.11691,0.1,se,se60335,2022-06-28T13:57:05.630Z,"11 km SSE of Seymour, Tennessee",earthquake,,0.7,,,reviewed,nm,nm
1983-12-21T09:01:32.600Z,35.574,-84.421,19.1,1.8,md,,257,0.17986,0.1,se,se60337,2022-06-28T13:57:07.911Z,"4 km SE of Sweetwater, Tennessee",earthquake,,0.8,,,reviewed,nm,nm
1983-12-30T02:05:23.200Z,35.212,-84.421,4.4,1.5,md,,146,0.11691,0.1,se,se60339,2022-06-28T13:57:10.360Z,"15 km SE of Etowah, Tennessee",earthquake,,0.9,,,reviewed,nm,nm
1984-01-05T05:49:26.800Z,35.598,-84.377,9.3,1.6,md,,116,0.15288,0.2,se,se60342,2022-06-28T13:57:13.981Z,"7 km E of Sweetwater, Tennessee",earthquake,,1.3,,,reviewed,nm,nm
1984-02-02T06:33:56.200Z,35.636,-84.084,11.6,0.1,md,,159,0.10792,0.2,se,se60345,2022-06-28T13:57:17.459Z,"8 km ESE of Greenback, Tennessee",earthquake,,2,,,reviewed,nm,nm
1984-02-07T06:32:19.600Z,35.651,-84.678,24.7,1.5,md,,135,0.24282,0.1,se,se60347,2022-06-28T13:57:28.552Z,"17 km ESE of Spring City, Tennessee",earthquake,,0.9,,,reviewed,nm,nm
1984-02-14T20:51:46.100Z,36.138,-83.727,10.8,1.4,md,,122,0.24282,0.2,se,se60349,2022-06-28T13:57:30.856Z,"2 km SW of Blaine, Tennessee",earthquake,,1.2,,,reviewed,nm,nm
1984-02-14T20:54:30.900Z,36.125,-83.737,9.8,3.6,mb_lg,,65,0.23382,0.2,se,se60350,2022-06-28T13:57:31.944Z,"4 km SW of Blaine, Tennessee",earthquake,,1,,,reviewed,nm,us
